,id,blat,blon,elat,elon,sides,address,type,rate,num_meters,num_safe,num_towed
110,870ff5b8-7d1c-4fa6-b116-c7ddb8b32cc0,39.9624438,-75.1697067,39.9648686,-75.169103,W,"500+N+19TH+ST+Philadelphia,+PA",zone,,,,
111,f003d8a5-cb69-46e1-b109-8e81bea35c66,39.9456762,-75.1819048,39.945693,-75.183296,N,"2500+SOUTH+ST+Philadelphia,+PA",zone,,,,
112,dcf5049b-a9f8-4fdb-9dd8-7be2f7a0e02a,39.9531079,-75.2141708,39.9518397,-75.2146194,B,"300+S+46TH+ST+Philadelphia,+PA",zone,,,,
113,8ab2a036-85f6-437c-adcf-7e844f1bda09,39.9731344,-75.1265299,39.973747,-75.1251534,B,"700+E+THOMPSON+ST+Philadelphia,+PA",zone,,,,
114,803ac110-75bf-4e6c-a5c2-0daff5f821f5,39.9277322,-75.1860159,39.9265004,-75.1863788,B,"2000+S+24TH+ST+Philadelphia,+PA",zone,,,,
115,c7a5456a-2fa9-46aa-a48a-fe9aebe28aad,39.940957,-75.183023,39.9413031,-75.1847197,B,"2400+CARPENTER+ST+Philadelphia,+PA",zone,,,,
116,e0c51e01-fe62-4965-8a65-b222200c2eaa,39.9425936,-75.1723117,39.9427877,-75.1739402,B,"1800+FITZWATER+ST+Philadelphia,+PA",zone,,,,
117,d5d0d036-26c2-47f5-b756-46b065329a88,39.9532553,-75.2151384,39.9532553,-75.2151384,B,"300+S+FARRAGUT+Philadelphia,+PA",zone,,,,
118,1d0d40b7-c6f3-4b2e-8a93-d156fa0a25f4,39.9362244,-75.1650548,39.9367506,-75.1677561,B,"1300+ELLSWORTH+ST+Philadelphia,+PA",zone,,,,
119,8f73e2a9-93bf-41aa-96a0-fc198ae87692,39.9467065,-75.2101247,39.9454461,-75.2086317,W,"1200+S+45TH+ST+Philadelphia,+PA",zone,,,,
120,42e7dd10-899e-4c9e-97c0-5c92443c12cf,39.9641835,-75.189013,39.9640234,-75.1902925,B,"3200+HAVERFORD+ST+Philadelphia,+PA",zone,,,,
121,2cf3bbe7-4327-4d11-bdb2-55d0713b2c17,39.9462447,-75.1796973,39.945417,-75.1797498,E,"500+S+23RD+ST+Philadelphia,+PA",zone,,,,
122,1f383faf-65f1-47d8-b7bf-3fbb3fd7d6a3,39.9485441,-75.177882,39.946897,-75.178469,W,"300+S+22ND+ST+Philadelphia,+PA",zone,,,,
123,9deb4e85-7931-440c-85e2-995999dc233b,39.9459429,-75.1683693,39.945009,-75.168824,W,"400+S+16TH+ST+Philadelphia,+PA",zone,,,,
124,8f83db56-4fb5-4eae-9c71-ee7015de99d8,40.0347864,-75.1418072,40.0011009,-75.1491673,B,"5400+N+12TH+ST+Philadelphia,+PA",zone,,,,
125,147cf9d1-1aad-4a7b-a64c-a01d47611c84,39.9274904,-75.2343581,39.9263808,-75.233048,B,"2100+S+64TH+ST+Philadelphia,+PA",zone,,,,
126,dec20674-6c4f-4c43-9c51-3765a26bc51d,39.9324059,-75.1544673,39.9326228,-75.1560437,B,"600+WHARTON+Philadelphia,+PA",zone,,,,
127,71cbbdee-1d84-4097-8d5a-f8c270713425,39.9418347,-75.1880739,39.9428355,-75.1890339,N,"2600+CHRISTIAN+ST+Philadelphia,+PA",zone,,,,
128,b9a29cd1-3621-4e58-b99f-337b5de65608,39.9430909,-75.1454201,39.9431463,-75.1474783,N,"200+PINE+ST+Philadelphia,+PA",zone,,,,
129,f7a56205-c22e-4759-b483-00eb934c68c5,39.9380926,-75.1548441,39.936768,-75.1551167,B,"900+S+07TH+ST+Philadelphia,+PA",zone,,,,
130,522ae98c-4bef-41c9-ac7e-97af43a68212,39.9846964,-75.1615466,39.9849091,-75.1631431,N,"1700+FONTAIN+ST+Philadelphia,+PA",zone,,,,
131,0887a4ea-6624-4bf0-b2d5-07b39e8c0b80,39.9842588,-75.1616407,39.9844548,-75.1631715,S,"1700+PAGE+ST+Philadelphia,+PA",zone,,,,
132,88c8c6bc-e875-418d-94f3-dda2c7395828,39.9624438,-75.1697067,39.9648686,-75.169103,E,"500+N+19TH+ST+Philadelphia,+PA",zone,,,,
133,93aea480-493c-4ef6-ad0c-46b1e8667663,40.0347935,-75.1314289,40.035636,-75.13365,B,"500+TABOR+RD+Philadelphia,+PA",zone,,,,
134,a48463b1-6900-4035-9cb9-12de03746a4f,39.94584,-75.1831889,39.9449755,-75.1833681,E,"600+S+26TH+ST+Philadelphia,+PA",zone,,,,
135,0d9bcbe3-49ef-4d88-a908-5b6691f7ba5d,39.95591,-75.1730897,39.9586604,-75.1721529,W,"100+N+20TH+ST+Philadelphia,+PA",zone,,,,
136,4036f0c0-8542-4aa0-a2eb-99936ab7d101,40.0774169,-75.206095,40.078741,-75.204734,N,"200+E+EVERGREEN+AVE+Philadelphia,+PA",zone,,,,
137,c637a48a-afd4-4b63-a337-eec3ec336899,39.949701,-75.177813,39.9498109,-75.178904,S,"2200+LOCUST+ST+Philadelphia,+PA",zone,,,,
138,3e32843b-b8dc-42a3-8b1e-55e76ff592d5,39.940247,-75.146036,39.937558,-75.1466253,B,"700+S+02ND+ST+Philadelphia,+PA",zone,,,,
139,4db0bba9-6166-4d3f-a833-cae7823b3c58,40.0394187,-75.140196,40.0414082,-75.1397702,B,"5700+MARVINE+ST+Philadelphia,+PA",zone,,,,
140,fdaaf21a-97bc-4c79-b8fd-bdc39c5bf35e,39.9813083,-75.1632646,39.9871165,-75.1620578,E,"1800+N+BOUVIER+ST+Philadelphia,+PA",zone,,,,
141,0c796f48-3fee-4afc-8686-3eb41e37c7fa,39.9419406,-75.1597468,39.940033,-75.1600712,E,"700+WARNOCK+ST+Philadelphia,+PA",zone,,,,
142,7064800c-9df6-4cb7-b885-d3fc23f133f6,39.915738,-75.1747539,39.9145425,-75.1750043,B,"2800+S+16TH+ST+Philadelphia,+PA",zone,,,,
143,f29d4e98-1497-440a-92cb-2247953c8a95,40.074436,-75.207618,40.0729339,-75.208867,B,"100+W+HIGHLAND+AVE+Philadelphia,+PA",zone,,,,
144,f18b0bf4-a500-4d05-b2a6-0db35f613fe4,39.9525839,-75.1652215,39.9525839,-75.1652215,B,"800+S+08TH+ST+Philadelphia,+PA",zone,,,,
145,815048a7-15b6-4aab-8bfb-0047b676ef95,39.9465577,-75.1805364,39.9466779,-75.1816512,S,"2400+LOMBARD+ST+Philadelphia,+PA",zone,,,,
146,5bfd2416-1ec7-4356-b40b-edad40ef3bd7,40.0276768,-75.2179474,40.028029,-75.2171534,N,"300+COTTON+Philadelphia,+PA",zone,,,,
147,6899629f-d397-4dff-b867-c7fec6585070,39.9478356,-75.2208935,39.9471471,-75.2204324,B,"700+S+49TH+ST+Philadelphia,+PA",zone,,,,
148,51aa9ac1-15c8-404b-a05f-16b0d93c0802,39.9640553,-75.1628183,39.9675109,-75.1620618,B,"600+N+15TH+ST+Philadelphia,+PA",zone,,,,
149,d1889fcf-7a1c-46db-803b-34ce8974121c,40.0146346,-75.1859532,40.0137732,-75.1879938,B,"3300+AINSLIE+ST+Philadelphia,+PA",zone,,,,
150,69f5c0e2-2430-4303-b3cd-10e0c12dbf06,39.9565963,-75.1556421,39.9588408,-75.1725179,B,"1000+WINTER+ST+Philadelphia,+PA",zone,,,,
151,ad7e57b2-1801-4666-99eb-c34584180352,39.9246697,-75.1658551,39.9248704,-75.1674069,S,"1200+EMILY+ST+Philadelphia,+PA",zone,,,,
