METER NUMBER,BLOCK/LIMITS,STREET,SIDE,DISTRICT,MANUFACTURER,MODEL,RATE,FROM DAY,TO DAY,FROM TIME,TO TIME,LIMIT HR,LIMIT MIN,TIMER,STATUS,INSTALLED,MAINTENANCE ROUTE
CAL01,LOT,CALLOWHILL,N,80,METRIC,P&D,$8.00 ,SUN,SAT,0600A,1159P,24,,24HR,"I		",12/17/14,1-NEQ
1229120,501,RACE,N,12,D-E,80,$1.00 ,SUN,SAT,0700A,0700P,12,,12HR,"R		",1/1/82,1-NEQ
1229121,501,RACE,N,12,D-E,80,$0.50 ,SUN,SAT,0700A,0700P,12,,12HR,"R		",1/1/82,1-NEQ
1229124,200,N 4,W,12,D-E,80,$0.50 ,MON,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229125,200,N 4,W,12,D-E,80,$0.50 ,MON,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229126,200,N 4,W,12,D-E,80,$2.50 ,MON,SAT,0800A,0630P,2,,2HR,"I		",1/1/82,1-NEQ
1229129,200,N 3,W,12,D-E-HP,80,$2.50 ,MON,FRI,0930A,0400P,2,,2HR,"I		",1/1/82,1-NEQ
1229129,200,N 3,W,12,D-E-HP,80,$2.50 ,SAT,SAT,0800A,0630P,2,,2HR,"I		",1/1/82,1-NEQ
1229130,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229130,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229131,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229131,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229132,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229132,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229133,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229133,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229134,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229134,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229135,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229135,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229136,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229136,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229137,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
1229137,200,N 3,W,12,D-E,80,$2.00 ,SAT,SAT,0800A,0630P,2,,2HR,"R		",1/1/82,1-NEQ
1229138,200,N 3,W,12,D-E,80,$2.00 ,MON,FRI,0930A,0400P,2,,2HR,"R		",1/1/82,1-NEQ
